alter winds,"[Dragon,Stormghost,Chuspiki,Flying Polyp]"
command undead,"[Sayona,Dragon,Shredskin,Pukwudgie,Ghouls,Lorelei]"
daylight,"[Dragon,Shadow Mastiff,Aasimar,Druids,Aeon,Simurgh,Juggernaut,Jyoti,Paladins,Lurker in Light,Temple,Agathion,Thriae,Angel,Azruverda,Spectre,Archon]"
"dispel magic, greater",[Asura]
fly,"[Ijiraq,Clerics,Dragon Disciples,Devil,Pathfinder Chroniclers,Ratfolk,Eldritch Knights,Goblins,Paladins,Rangers,Tikbalang,Qlippoth,Mystic Theurges,Orcs,Hobgoblins,Nightshade,Great Old One,Beheaded,Oni,Demon,Neothelid,Barbarians,Arcane Tricksters,Wizards,Vampires,Sorcerers,Adventurers,Soulbound Shell,Kami,Devilbound Creature,Isitoq,Graeae,Daemon,Rogues,Rokurokubi,Worm That Walks,Shadowdancers,Sahuagin,Tzitzimitl,Bards,Lizardfolk,Fire Giants,Fighters,Ogres,Arcane Archers,Div,Adepts]"
foster hatred,[Tulpa]
hold person,"[Clerics,Dragon Disciples,Kobolds,Devil,Neh-Thalggu,Pathfinder Chroniclers,Entertainers,Ghouls,Frost Giants,Azata,Imperial Dragon,Baregara,Heretics,Temple,Mystic Theurges,Agathion,Orcs,Troglodytes,Duergar,Arcane Tricksters,Nue,Pyschopomp,Wizards,Vampires,Dragon,Sorcerers,Bogeyman,Drow,Inevitable,Devilbound Creature,Penanggalen,Naga,Serpentfolk,Sahuagin,Gnolls,Loremasters]"
psychic asylum,"[Manasaputra,Apkallu]"
summon nature&apos;s ally II,"[Druids,Leshy,Triton,Troglodytes]"
unwitting ally,"[Vampires,Dragon, Esoteric]"
wish,"[Devil,Genie,Soul Eater,Leprechaun,Shinigami,Golem,Derro,Iku-Turso,Gashadokuro,Qlippoth,Troglodytes,Owb,Great Old One,Duergar,Titan,Demon,Warsworn,Colossus,Ravener,Aeon,Sceaduinar,Devilbound Creature,Daemon,Demilich,Demon Lord,Wendigo,Angel,Witchfire,Div,Devourer,Norn]"
