beast shape I,"[Swan Maiden,Devil,House Spirit,Azatas,Encantado,Ghul,Wizards]"
calm animals,"[Empyreal Lord,Rangers,Troglodytes,Lizardfolk,Loremasters]"
prismatic wall,"[Sorcerers,Mystic Theurges,Julunggali,Loremasters,Wizards]"
rage,"[Maenad,Sorcerers,Pathfinder Chroniclers,Bugbears,Rakshasa,Frost Giants,Devilbound Creature,Broken Soul,Soulbound Doll,Imperial Dragon,Tanuki,Einherji,Orcs,Troglodytes,Lizardfolk,Bards,Adaro]"
reincarnation,"[Qlippoth,Soul Eater]"
touch of idiocy,"[Sorcerers,Dragon,Pathfinder Chroniclers,Aeon,Bugbears,Clockwork,Crysmal,Dragon, Esoteric,Cerebric Fungus,Trolls,Imperial Dragon,Rokurokubi,Orcs,Serpentfolk,Gnolls,Xacarba,Devils,Div,Arcane Tricksters,Scholars,Wizards]"
trap the soul,"[Dullahan,Kyton,Devil,Aeon,Sceaduinar,Devourer]"
true resurrection,"[Pyschopomp,Dragon,Ravener,Kaiju,Rakshasa,Soul Eater,Kami,Manasaputra,Qlippoth,Wysp,Demilich,Nemhain,Great Old One,Titan]"
true strike,"[Argus,Clerics,Crusaders,Colossi,Frost Giants,Garuda,Empyreal Lord,Eldritch Knights,Goblins,Imperial Dragon,Mystic Theurges,Hobgoblins,Duergar,Yangethe,Barbarians,Wizards,Vampires,Dragon,Ravener,Sorcerers,Aeon,Udaeus,Dragon, Esoteric,Axiomite,Naga,Serpentfolk,Sahuagin,Couatl,Fire Giants,Arcane Archers,Div]"
vomit swarm,"[Goblins,Sahkil,Drow]"
